ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
5438,ART Line T4 in Yibin,YIBIN AUTONOMOUS-RAIL TRANSIT CO.，LTD.,Transport,,ACM0016,Under validation,China,"2,019",,,2023-06-26,2044-06-25
5436,CATANDUVA LANDFILL GAS PROJECT,UniCarbo Energia e Biogas Ltda.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,Brazil,"109,042",Latin America,,2023-06-01,2030-05-31
5434,GHG EMISSIONS REDUCTION THROUGH THE  EXPANSION OF DUFERCO MOBILITY’S EV  CHARGING STATION NETWORK,Duferco Mobility Srl,Energy industries (renewable/non-renewable sources); Transport,,VM0038,Under validation,Italy,"7,966",Europe,,2024-10-01,2034-09-30
5433,Project Colobus | Forest Ecosystem Restoration In Eastern Ghana,Rainforest Builder Ltd.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Ghana,"202,313",Africa,,2025-03-01,2065-02-28
5430,Cultivar Progresso REDD+ Project,Nova-Agri Infra-Estrutura De Armazenagem E Escoamento Agricola S.A.A.,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,"57,983",Latin America,,2024-01-01,2043-12-31
5424,Ecofy EV Green Financing Project,Multiple Proponents,Transport,,AMS-I.F.; AMS-III.C.,Under validation,India,"19,168",Asia,,2023-07-26,2033-07-25
5423,"Small scale grouped hydropower project by Phongsubthavy Group Sole Co., Ltd","Phongsubthavy Group Sole Co., Ltd",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under validation,Lao,"20,615",Asia,,,
5419,SK Electlink EV Charging Carbon Offset Project,"SK electlink Co.,Ltd.",Energy industries (renewable/non-renewable sources); Transport,,VM0038,Registration and verification approval requested,South Korea,"386,723",Asia,,2023-05-01,2033-04-30
5418,Salvador WMA Baldcypress Restoration Project,"Restore the Earth Foundation, Inc.",Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under validation,United States,"61,778",North America,,2022-02-01,2122-01-31
5416,Saxon EVolve Program – EV Charging System Grouped Project,SAXON RENEWABLE ENERGY SDN BHD,Transport,,VM0038,Registration requested,Malaysia,16,Asia,,2024-02-03,2031-02-02
5417,Bosland Growth—Appalachian Mineland Reforestation,"Bosland Growth, LLC",Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,United States,"6,591",North America,,2024-10-15,2084-10-14
5415,Vale do Rio Branco REDD+ Grouped Project,ZEG Florestal S.A.,Agriculture Forestry and Other Land Use,REDD,VM0007,Under development,Brazil,"164,017",Latin America,,2025-01-01,2064-12-31
5412,Hubei Improved Cropland Management Project Phase I,Tanda carbon asset management company limited,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,"98,697",Asia,,2023-10-10,2033-10-09
5413,Coolpath Veles Rangeland Restoration Project,CoolPath Veles LLC,Agriculture Forestry and Other Land Use; Carbon capture and storage,ALM,VM0042,Under development,United States,"100,000",North America,,2025-05-01,2035-04-30
5414,Guizhou Tianzhiyuan E-waste recycling and treatment project,"Guizhou Tianzhiyuan Environmental Protection Technology Development Co., Ltd.",Waste handling and disposal,,VM0008,Under validation,China,"23,106",,,2023-06-12,2030-06-11
5408,Tongyi CMM Power Generation Project,"Pingding County Yonder Coal Mine Methane Utilization Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,"172,394",Asia,,2024-09-14,2034-09-13
5410,Zhangcun CMM Power Generation Project,"Xiangyuan County Yonder Coal Mine Methane Utilization Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,"142,671",Asia,,2024-04-20,2034-04-19
5411,Wulihou CMM Power Generation Project,"Zuoquan County Yonder Coal Mine Methane Utilization Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,"101,057",Asia,,2024-09-25,2034-09-24
5404,Atebubu and Wiase Forest Landscape Restoration Project,iNovaLand Investment Ltd,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Ghana,"109,853",Africa,,2022-05-01,2052-04-30
5402,Improved Forest Management Project in the Mesopotamia Region of Argentina,Vista Energy Argentina SAU,Agriculture Forestry and Other Land Use,IFM,VM0003,Under validation,Argentina,"4,354",Latin America,,2023-09-25,2066-09-24
5403,Reforestation Project in Northern Argentina,Vista Energy Argentina SAU,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Argentina,"34,188",Latin America,,2024-07-31,2059-07-30
5401,"Regenerating Landscapes: Smallholder Farmers Agroforestry Initiative in Tamil Nadu, India",Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,"424,726",Asia,,2024-12-19,2058-12-18
5400,Mangrove Restoration and Biodiversity Conservation for Coastal Communities of India,Erda Illumine Low Carbon Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under validation,India,"82,861",Asia,,2025-01-01,2124-12-31
5399,Regenerating Rajasthan - Climate Aligned Economic Development,MEWAR CLIMATE REGENERATIVE PRIVATE LIMITED,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,India,"223,066",Asia,,2023-09-09,2053-09-08
5398,La Florida Afforestation project with exotic and native species in Northeast Argentina,GMF Latinoamericana S.A.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Argentina,"15,151",Latin America,,,
5396,Wonegizi REDD+ Pilot Project,Fauna & Flora International,Agriculture Forestry and Other Land Use,REDD,VM0048,Under development,Liberia,"114,798",Africa,,2022-01-01,2061-12-31
5397,Impact Forestry: 2024 Project 1,Arbonics OU,Agriculture Forestry and Other Land Use,IFM,VM0045,Under development,Estonia,"2,374,939",Europe,,2024-09-24,2064-09-23
5395,Peatland Restoration Republic of Ireland,Wilderway B.V.,Agriculture Forestry and Other Land Use,WRC,VM0036,Under development,Ireland,"1,296",Europe,,2024-09-23,2074-09-22
5393,"FOREST CARBON FIXATION IN THE AREA OF INFLUENCE OF THE SANTA BARBARA MOUNTAIN, SANTA BARBARA, HONDURAS.",Higuertropic de Honduras,Agriculture Forestry and Other Land Use; Carbon capture and storage,,VM0048,Under validation,Honduras,"1,427,022",Latin America,,2024-12-06,2054-12-05
5389,Mombak Reforesting Brazil at Scale - Project 1,Samauma Florestal SA,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Brazil,"58,627",Latin America,,2023-03-31,2073-03-30
5391,COLORADO REDD AUD PROJECT,COLORADO EMPREENDIMENTOS SUSTENTAVEIS LTDA,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,"26,638",Latin America,,2022-01-01,2061-12-31
5392,The regenerative and eco-oriented agriculture project in Ukraine,"CarbonEx Ukraine, LLC",Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Ukraine,"1,242,240",Europe,,2025-04-01,2045-03-31
5388,"Safe Drinking Water Program in Sindh, Pakistan",United Energy Group Limited,Energy demand,,AMS-III.AV.,Under validation,Pakistan,"17,833",Asia,,2023-06-22,2033-06-21
5386,ARR REECO Fronteiras Verdes,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Brazil,"166,649",Latin America,,2024-12-23,2071-12-22
5387,ARR Renascer das Serras,Biofilica Ambipar Environmental Investments S.A,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Brazil,"122,326",Latin America,,2024-12-23,2076-12-22
5383,Agroforestry plantations in Karnataka for greener tomorrow,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,India,"55,290",Asia,,2022-01-15,2042-01-14
5385,AF MADERA HIGH QUALITY TIMBER ON  SILVOPASTORAL PROJECT,AF Madera S.A.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Paraguay,"26,260",Latin America,,2021-12-07,2041-12-06
5380,Stealth Energy Efficient Lighting Project,Multiple Proponents,Energy demand,,AMS-II.C.,Under validation,South Africa,"298,422",Africa,,2024-10-01,2031-09-30
5381,Alien Energy Biomass Waste to Energy Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Under development,South Africa,"106,535",Africa,,2023-10-01,2030-09-30
5382,UAE Afforestation Project,Innovative Sustainable Biotechnologies,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,United Arab Emirates,"1,975,529",Middle East,,2025-01-01,2124-12-31
5375,Save the Sand,Sand Catchment Pty Ltd.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,South Africa,"166,973",Africa,,,
5376,Seeds of Recovery: The Ukrainian Regenerative Agriculture & Carbon Removal Program,Sentinel Earth,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Ukraine,"96,750",Europe,,2023-07-01,2043-06-30
5378,The Clean Choola Initiative,Core Carbon Canada,Energy demand,,VM0050,Under development,Pakistan,"281,609",Asia,,2023-03-15,2030-03-14
5371,Kubu Peatland Project,Menggala Rambu Utama,Agriculture Forestry and Other Land Use,REDD; WRC,VM0007,Under validation,Indonesia,"597,165",Asia,,2022-01-01,2068-12-31
5373,Solar Light for Rural Kenya,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.L.,Registration and verification approval requested,Kenya,"41,968",Africa,,2023-04-01,2030-03-31
5369,Sierra del Divisor Conservation Corridor Grouped Project,Ama Pacha S.A.S,Agriculture Forestry and Other Land Use,REDD,VM0048,Under development,Peru,"29,141",Latin America,,2023-10-27,2053-10-26
5370,Forestal Sylvis Silvopastoral Carbon Project,Forestal Sylvis S.A.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Paraguay,"446,243",Latin America,,2021-12-07,2041-12-06
5365,Conservation and Restoration of Mangroves in the Coastal Blue Carbon Ecosystem of Egypt,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under validation,Egypt,"263,361",Africa,,,
5366,Henan Zhumadian Youran Xiping Dairy Farm Biogas Utilization Project,"Zhumadian Youran Animal Husbandry Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Registration and verification approval requested,China,"59,610",Asia,,2023-04-15,2033-04-14
5362,Shuangjianghu Wastewater Treatment Plant Project,"Shanghai Treasure Carbon New Energy Environmental Protection Technology Co., Ltd.",Waste handling and disposal,,AM0080,Registration requested,China,"29,269",Asia,,2023-04-01,2033-03-31
5363,Poultry Manure to Compost grouped project in Bangladesh,Kazi Farms Limited,Waste handling and disposal,,AMS-III.D.; AMS-III.F.,Under validation,Bangladesh,"25,423",Asia,,2023-04-15,2030-04-14
5360,Sumaq Allpa - Beautiful Land: Large-scale community-based afforestation in the Andes Highlands,Ama Pacha S.A.S,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Peru,"165,321",Latin America,,,
5357,TCL Aobo (Tianjin) E-waste recycling and comprehensive utilization project(Phase II),"TCL Aobo (Tianjin) Environmental Protection Development Co., Ltd.",Waste handling and disposal,,VM0008,Registration and verification approval requested,China,"56,102",Asia,,2023-05-01,2030-04-30
5352,Chongqing Fengdu LFG Power Generation Project,"Fengdu Zhaoqian New Energy Technology Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Under validation,China,"18,910",Asia,,2023-08-22,2033-08-21
5353,Life Climate Soil Carbon Project in Turkiye,Life Iklim ve Enerji Ltd. Sti (VCS),Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Turkey,"30,703",Middle East,,2022-01-01,2041-12-31
5349,Electric Vehicle Project in India,Mufin Green Finance Limited,Energy industries (renewable/non-renewable sources); Transport,,AMS-III.C.,Under validation,India,"9,035",Asia,,2023-04-01,2030-03-31
5350,"Organic waste to Bio-CNG project in Tamil Nadu, India",Energim Sustainable Solutions Cuddalore Private Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under validation,India,"93,851",Asia,,2023-10-17,2030-10-16
5351,PROJECT BUFFALO | WESTERN GUINEAN LOWLAND FOREST ECOSYSTEM RESTORATION,Rainforest Builder Ltd.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Sierra Leone,"12,520",Africa,,2023-09-01,2094-08-31
5344,Ejin Horo Banner MSW Landfill Biogas Pollution Control and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Under validation,China,"42,936",Asia,,2023-12-09,2033-12-08
5347,NATURALL CARBON PROGRAM: REGENERATIVE AGRICULTURE IN BRAZIL – PROJECT II,NaturAll Carbon Limited,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Brazil,"1,562,585",Latin America,,2022-01-01,2041-12-31
5348,NATURALL CARBON PROGRAM: REGENERATIVE AGRICULTURE IN BRAZIL – PROJECT III,NaturAll Carbon Limited,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Brazil,"1,562,585",Latin America,,2022-01-01,2041-12-31
5342,Yingkou Dashiqiao LFG Power Generation Project,"Dashiqiao Xinzhongshui Environmental Protection Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,China,"47,601",Asia,,2024-05-29,2034-05-28
5340,YANGMEI XINDADI 16MW CMM POWER GENERATION PROJECT,"Heshun County Yanyan Power Generation Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0008,Registration requested,China,"496,650",Asia,,2023-04-20,2033-04-19
5339,"Biogas Project in Hisar, India",Global Carbon Solutions,Transport; Waste handling and disposal,,AMS-III.D.; AMS-III.AO.; AMS-III.AQ,Under development,India,"27,791",Asia,,2024-06-26,2031-06-25
5337,De Aar Hydra Storage,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,South Africa,"440,000",Africa,,,
5336,Shaoyang Xinning LFG Power Generation Project,"Xinning Xinzhongshui Bio-energy Power Generation Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Under validation,China,"34,809",Asia,,2023-07-01,2033-06-30
5334,Zhengzhou Lvyuan Food Waste Treatment Project,"Zhengzhou Lvyuan Food Waste Treatment Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under validation,China,"24,201",,,2024-07-23,2034-07-22
5335,Boomitra grassland Restoration in Colombia,Boomitra Inc,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Colombia,"666,484",Latin America,,2022-05-12,2042-05-11
5331,"RE&UP BOTTLE PET RECYCLED CHIPS, FLAKES & NEXT-GEN T2T PET RECYCLED CHIPS PRODUCTION",Re Up Geri Dönüşüm Sanayi ve Ticaret A.Ş. Repet Şube,Waste handling and disposal,,VMR0007,Registration and verification approval requested,Turkey,"32,355",Europe,,2024-01-26,2034-01-25
5333,"Forest Restoration in Mantiqueira, Brazil",The Nature Conservancy,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Brazil,"15,000",Latin America,,2021-11-08,2061-11-07
5328,PROCARBONO IN BRAZIL,Bayer Crop Science LP,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Brazil,"142,830",Latin America,,2022-02-01,2042-01-31
5323,Biogas Project PT Rohul Sawit Industri,PT Rohul Sawit Industri,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.H.,Registration and verification approval requested,Indonesia,"77,739",Asia,,2023-05-01,2030-04-30
5319,Improved cookstoves distribution in Sierra Leone - Northern region,Eni S.p.A.,Energy demand,,VM0050,Under development,Sierra Leone,"76,225",Africa,,,
5320,Improved cookstoves distribution in Sierra Leone - Southern region,Eni S.p.A.,Energy demand,,VM0050,Under development,Sierra Leone,"164,113",Africa,,,
5321,CTDRS Três Rios Landfill Gas,UNIÃO NORTE FLUMINENSE ENGENHARIA E COMERCIO LTDA.,Waste handling and disposal,,ACM0001,Under validation,Brazil,"44,072",Latin America,,2022-07-29,2029-07-28
5322,"Animal Manure based CBG project at Sanchore, Rajasthan",Transtech Green Power Private Limited,Waste handling and disposal,,AMS-III.D.; AMS-III.H.; AMS-III.AO.,Under development,India,"15,410",Asia,,2024-01-01,2033-12-31
5317,Grouped Biowaste to biogas project in India,Carbonwatch India Private Limited,Transport; Waste handling and disposal,,AMS-III.D.; AMS-III.AO.; AMS-III.AQ,Under development,India,"29,129",,,2025-01-01,2034-12-31
5316,AGROFORESTRY SYSTEMS FOR NATURAL RESOURCE MANAGEMENT,ReNew Power Synergy Private Limited,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,India,"2,245",Asia,,2024-08-14,2044-08-13
5313,Lichuan City Domestic Waste Landfill Site Biogas Pollution Treatment and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registration requested,China,"45,669",,,2024-09-05,2034-09-04
5314,Shangluo Shangzhou District MSW Disposal Site Biogas Pollution Control and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registration requested,China,"32,121",Asia,,2023-03-23,2033-03-22
5315,Ecobase European Improved Forest Management Project,ECOBASE (PROJECT SPRUCE OÜ),Agriculture Forestry and Other Land Use,IFM,VM0003,Under validation,Estonia,"834,000",Europe,,2024-10-01,2074-09-30
5312,Oya Hybrid Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,South Africa,"475,000",Africa,,,
5310,Ankang Hanbin Landfill Gas Power Generation Project,"Ankang Xinzhongshui Environmental Protection Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registration and verification approval requested,China,"72,891",Asia,,2023-04-03,2033-04-02
